iter	Passed	Remaining
0	190	57004
1	238	35575
2	286	28408
3	337	24973
4	387	22860
5	450	22075
6	514	21525
7	572	20889
8	628	20333
9	685	19869
10	734	19304
11	786	18866
12	839	18526
13	892	18226
14	938	17823
15	982	17438
16	1026	17087
17	1081	16945
18	1139	16851
19	1193	16714
20	1251	16629
21	1302	16452
22	1347	16229
23	1396	16058
24	1446	15912
25	1489	15692
26	1541	15589
27	1587	15423
28	1637	15304
29	1694	15252
30	1750	15194
31	1798	15058
32	1851	14983
33	1899	14862
34	1942	14709
35	1986	14570
36	2036	14472
37	2086	14386
38	2138	14312
39	2191	14245
40	2251	14222
41	2305	14162
42	2358	14095
43	2410	14022
44	2462	13954
45	2509	13857
46	2562	13793
47	2614	13726
48	2665	13654
49	2733	13666
50	2800	13672
51	2856	13623
52	2910	13563
53	2961	13490
54	3007	13398
55	3055	13312
56	3106	13245
57	3110	12979
58	3161	12912
59	3216	12867
60	3274	12827
61	3321	12750
62	3372	12686
63	3419	12609
64	3468	12541
65	3519	12477
66	3568	12409
67	3613	12329
68	3664	12268
69	3723	12233
70	3781	12196
71	3835	12145
72	3888	12090
73	3933	12012
74	3982	11948
75	4029	11875
76	4072	11794
77	4117	11718
78	4170	11666
79	4222	11610
80	4279	11570
81	4333	11520
82	4383	11461
83	4431	11394
84	4483	11341
85	4531	11275
86	4576	11203
87	4620	11131
88	4672	11078
89	4723	11022
90	4782	10983
91	4833	10928
92	4883	10868
93	4941	10829
94	4987	10762
95	5040	10711
96	5094	10661
97	5143	10602
98	5202	10562
99	5252	10504
100	5305	10454
101	5358	10402
102	5402	10332
103	5458	10287
104	5503	10221
105	5551	10160
106	5602	10105
107	5650	10044
108	5693	9977
109	5743	9920
110	5798	9873
111	5859	9836
112	5909	9780
113	5962	9728
114	6003	9657
115	6047	9592
116	6098	9537
117	6140	9471
118	6181	9402
119	6224	9337
120	6274	9281
121	6328	9233
122	6385	9189
123	6436	9135
124	6489	9084
125	6540	9031
126	6589	8976
127	6634	8915
128	6684	8860
129	6733	8805
130	6784	8752
131	6840	8705
132	6901	8665
133	6948	8607
134	7006	8562
135	7047	8498
136	7093	8439
137	7139	8381
138	7182	8318
139	7226	8258
140	7270	8199
141	7345	8172
142	7414	8140
143	7467	8089
144	7534	8053
145	7589	8004
146	7652	7964
147	7697	7905
148	7739	7843
149	7783	7783
150	7836	7732
151	7893	7685
152	7941	7630
153	7990	7575
154	8042	7523
155	8088	7466
156	8133	7408
157	8178	7350
158	8226	7295
159	8276	7241
160	8321	7184
161	8396	7152
162	8533	7171
163	8689	7206
164	8786	7188
165	8833	7131
166	8890	7080
167	8952	7033
168	9007	6981
169	9056	6925
170	9094	6860
171	9132	6796
172	9172	6733
173	9211	6670
174	9249	6607
175	9287	6543
176	9330	6483
177	9376	6426
178	9417	6366
179	9460	6307
180	9505	6249
181	9557	6196
182	9608	6142
183	9654	6086
184	9704	6032
185	9747	5974
186	9788	5915
187	9832	5857
188	9888	5807
189	9942	5756
190	9997	5705
191	10051	5654
192	10103	5601
193	10152	5546
194	10197	5491
195	10244	5435
196	10288	5379
197	10328	5320
198	10381	5268
199	10436	5218
200	10488	5165
201	10537	5112
202	10594	5062
203	10632	5003
204	10684	4951
205	10731	4896
206	10782	4844
207	10833	4791
208	10884	4739
209	10941	4689
210	10994	4637
211	11039	4582
212	11093	4531
213	11140	4477
214	11187	4422
215	11234	4368
216	11276	4313
217	11314	4256
218	11362	4202
219	11490	4178
220	11583	4140
221	11725	4119
222	11779	4067
223	11826	4012
224	11868	3956
225	11908	3899
226	11993	3856
227	12068	3811
228	12125	3759
229	12173	3704
230	12221	3650
231	12266	3595
232	12314	3540
233	12357	3485
234	12397	3429
235	12448	3375
236	12504	3324
237	12554	3270
238	12607	3217
239	12662	3165
240	12709	3111
241	12903	3092
242	12986	3046
243	13040	2992
244	13086	2937
245	13139	2884
246	13183	2828
247	13225	2773
248	13267	2717
249	13310	2662
250	13351	2606
251	13395	2551
252	13442	2497
253	13493	2443
254	13544	2390
255	13596	2336
256	13653	2284
257	13703	2230
258	13752	2177
259	13800	2123
260	13842	2068
261	13887	2014
262	13934	1960
263	13986	1907
264	14035	1853
265	14094	1801
266	14153	1749
267	14204	1696
268	14254	1642
269	14310	1590
270	14359	1536
271	14416	1484
272	14469	1431
273	14531	1378
274	14580	1325
275	14622	1271
276	14673	1218
277	14724	1165
278	14766	1111
279	14812	1058
280	14849	1004
281	14891	950
282	14933	897
283	14978	843
284	15029	791
285	15078	738
286	15130	685
287	15188	632
288	15234	579
289	15272	526
290	15320	473
291	15365	420
292	15411	368
293	15454	315
294	15502	262
295	15556	210
296	15614	157
297	15666	105
298	15716	52
299	15756	0
